LATITUDE,LONGITUDE
5.625,39.625
5.625,40.125
5.625,40.625
6.125,39.625
6.125,40.125
6.125,40.625
6.625,38.625
6.625,39.125
6.625,39.625
6.625,40.125
6.625,40.625
6.625,41.125
6.625,41.625
6.625,42.125
6.625,42.625
6.625,43.125
7.125,35.625
7.125,38.625
7.125,39.125
7.125,39.625
7.125,40.125
7.125,40.625
7.125,41.125
7.125,41.625
7.125,42.125
7.125,42.625
7.125,43.125
7.625,34.625
7.625,35.125
7.625,35.625
7.625,36.125
7.625,38.625
7.625,39.125
7.625,39.625
7.625,40.125
7.625,40.625
7.625,41.125
7.625,41.625
7.625,42.125
7.625,42.625
7.625,43.125
8.125,34.625
8.125,35.125
8.125,35.625
8.125,36.125
8.125,38.625
8.125,39.125
8.125,39.625
8.125,40.125
8.125,40.625
8.125,41.125
8.125,41.625
8.125,42.125
8.125,42.625
8.125,43.125
8.625,34.625
8.625,35.125
8.625,35.625
8.625,36.125
8.625,37.625
8.625,38.125
8.625,38.625
8.625,39.125
8.625,39.625
8.625,40.125
8.625,40.625
8.625,41.125
8.625,41.625
8.625,42.125
8.625,42.625
8.625,43.125
9.125,34.625
9.125,35.125
9.125,35.625
9.125,36.125
9.125,37.625
9.125,38.125
9.125,38.625
9.125,39.125
9.125,39.625
9.125,40.125
9.125,40.625
9.125,41.125
9.125,41.625
9.125,42.125
9.125,42.625
9.125,43.125
9.625,37.625
9.625,38.125
9.625,38.625
9.625,39.125
9.625,39.625
9.625,40.125
9.625,40.625
9.625,41.125
9.625,41.625
9.625,42.125
9.625,42.625
9.625,43.125
